,name,link,pay_min,pay_max,pay_valuta,employer,employer_link,address
0,Senior Data Scientist (Recommender Systems),https://hhcdn.ru/click?b=225320&place=35,220000.0,,руб.,FUNCORP,https://hh.ru/employer/1212374,Москва
1,Data Scientist,https://khimki.hh.ru/vacancy/46079759?from=vacancy_search_list&query=Data%20Scientist,,,,B2Broker Москва,https://hh.ru/employer/2234168?dpt=2234168-2234168-msk,"Москва, Выставочная и еще 2 "
2,ML инженер / Data scientist,https://khimki.hh.ru/vacancy/46754459?from=vacancy_search_list&query=Data%20Scientist,250000.0,350000.0,руб.,ООО КИБЕР-РОМ,https://hh.ru/employer/5599143,Москва
3,Data scientist | Специалист по машинному обучению (junior/middle),https://khimki.hh.ru/vacancy/46702571?from=vacancy_search_list&query=Data%20Scientist,,,,ООО ВИИРОУТЕ,https://hh.ru/employer/2140704,"Санкт-Петербург, Василеостровская"
4,Специалист Computer Vision (Senior Data Scientist),https://khimki.hh.ru/vacancy/46590676?from=vacancy_search_list&query=Data%20Scientist,180000.0,300000.0,руб.,ООО Медицинские Скрининг Системы,https://hh.ru/employer/4588942,Санкт-Петербург
5,Data Scientist,https://khimki.hh.ru/vacancy/46408491?from=vacancy_search_list&query=Data%20Scientist,180000.0,220000.0,руб.,ООО МПК (Призыванет.Ру),https://hh.ru/employer/1056050,Москва
6,Data Scientist,https://khimki.hh.ru/vacancy/44350010?from=vacancy_search_list&query=Data%20Scientist,100000.0,250000.0,руб.,Точка,https://hh.ru/employer/2324020,Екатеринбург
7,Data Scientist (Junior/mid),https://khimki.hh.ru/vacancy/46752727?from=vacancy_search_list&query=Data%20Scientist,,,,SberTech,https://hh.ru/employer/906557,Москва
8,Аналитик данных / Data scientist,https://khimki.hh.ru/vacancy/46750731?from=vacancy_search_list&query=Data%20Scientist,,,,ООО Мотифай,https://hh.ru/employer/4392435,Санкт-Петербург
9,Senior Data Scientist,https://khimki.hh.ru/vacancy/46732109?from=vacancy_search_list&query=Data%20Scientist,220000.0,320000.0,руб.,ООО Виго Лаб,https://hh.ru/employer/2283197,"Санкт-Петербург, Петроградская"
10,Junior Data Scientist,https://khimki.hh.ru/vacancy/46666238?from=vacancy_search_list&query=Data%20Scientist,40000.0,80000.0,руб.,ООО Займиго МФК,https://hh.ru/employer/1457854,"Нижний Новгород, Горьковская"
11,Junior Data Scientist,https://khimki.hh.ru/vacancy/46498704?from=vacancy_search_list&query=Data%20Scientist,,,,ООО Retail Rocket,https://hh.ru/employer/2887273,"Москва, Сокол"
12,Data Scientist\ Аналитик Data Science,https://khimki.hh.ru/vacancy/46743518?from=vacancy_search_list&query=Data%20Scientist,,160000.0,руб.,КОРУС Консалтинг,https://hh.ru/employer/675,Санкт-Петербург
13,Стажёр Data Scientist (Группа управления данными/ Ozon Express),https://khimki.hh.ru/vacancy/46814781?from=vacancy_search_list&query=Data%20Scientist,,,,Ozon Express,https://hh.ru/employer/2180?dpt=ozonru-2180-express,"Москва, Деловой центр и еще 2 "
14,Data Scientist,https://khimki.hh.ru/vacancy/45191074?from=vacancy_search_list&query=Data%20Scientist,,300000.0,руб.,Точка,https://hh.ru/employer/2324020,Москва
15,Data Scientist,https://khimki.hh.ru/vacancy/46539765?from=vacancy_search_list&query=Data%20Scientist,60000.0,200000.0,руб.,ООО Артистраж,https://hh.ru/employer/4948337,Москва
16,Математик-аналитик (data scientist / data analyst),https://khimki.hh.ru/vacancy/45260586?from=vacancy_search_list&query=Data%20Scientist,98000.0,,руб.,ООО ННФормат,https://hh.ru/employer/2954482,Санкт-Петербург
17,Data Scientist,https://khimki.hh.ru/vacancy/46265425?from=vacancy_search_list&query=Data%20Scientist,,,,ООО Profit Center,https://hh.ru/employer/1969376,Новосибирск
18,Data Scientist\ Аналитик Data Science,https://khimki.hh.ru/vacancy/46743517?from=vacancy_search_list&query=Data%20Scientist,,160000.0,руб.,КОРУС Консалтинг,https://hh.ru/employer/675,Москва
19,Middle Data Scientist,https://khimki.hh.ru/vacancy/46666380?from=vacancy_search_list&query=Data%20Scientist,100000.0,140000.0,руб.,ООО Займиго МФК,https://hh.ru/employer/1457854,"Нижний Новгород, Горьковская"
20,Data Scientist,https://khimki.hh.ru/vacancy/46149708?from=vacancy_search_list&query=Data%20Scientist,,,,DIGINETICA,https://hh.ru/employer/1723062,Москва
21,Data Scientist,https://khimki.hh.ru/vacancy/46786963?from=vacancy_search_list&query=Data%20Scientist,,,,Plarium,https://hh.ru/employer/1753419,Москва
22,Data Miner,https://khimki.hh.ru/vacancy/46736991?from=vacancy_search_list&query=Data%20Scientist,,,,АО ДБ Альфа-Банк,https://hh.ru/employer/47468,Алматы
23,Data Scientist,https://khimki.hh.ru/vacancy/46700279?from=vacancy_search_list&query=Data%20Scientist,,,,АО ДБ Альфа-Банк,https://hh.ru/employer/47468,Алматы
24,Data Scientist,https://khimki.hh.ru/vacancy/46554393?from=vacancy_search_list&query=Data%20Scientist,40000.0,56000.0,грн.,ООО УКР КРЕДИТ ФИНАНС,https://hh.ru/employer/2788383,Киев
25,Senior Data Scientist (в Анапу),https://khimki.hh.ru/vacancy/46497621?from=vacancy_search_list&query=Data%20Scientist,150000.0,250000.0,руб.,Digital Kitchen (ООО Цифровая кухня),https://hh.ru/employer/4425101,Ростов-на-Дону
26,Data Scientist,https://khimki.hh.ru/vacancy/46403486?from=vacancy_search_list&query=Data%20Scientist,,,,Инфосистемы Джет,https://hh.ru/employer/3095,"Москва, Савеловская"
27,Senior Data Scientist (в Анапу),https://khimki.hh.ru/vacancy/46497618?from=vacancy_search_list&query=Data%20Scientist,150000.0,250000.0,руб.,Digital Kitchen (ООО Цифровая кухня),https://hh.ru/employer/4425101,Санкт-Петербург
28,Data scientist,https://khimki.hh.ru/vacancy/40730219?from=vacancy_search_list&query=Data%20Scientist,,,,Зарплата.ру,https://hh.ru/employer/2605703,"Новосибирск, Площадь Ленина"
29,Data Scientist senior,https://khimki.hh.ru/vacancy/46294118?from=vacancy_search_list&query=Data%20Scientist,,,,ООО НЕКСТ,https://hh.ru/employer/2498538,Москва
30,Middle Data Scientist,https://khimki.hh.ru/vacancy/46820276?from=vacancy_search_list&query=Data%20Scientist,,,,NIX,https://hh.ru/employer/22373,Харьков
31,Data scientist/Machine learning engineer в команду прикладных исследований ИИ,https://khimki.hh.ru/vacancy/44007750?from=vacancy_search_list&query=Data%20Scientist,,,,ВКонтакте,https://hh.ru/employer/63225,"Санкт-Петербург, Невский проспект"
32,Data Scientist (математическое моделирование),https://khimki.hh.ru/vacancy/46066063?from=vacancy_search_list&query=Data%20Scientist,,,,"«РОСБАНК, Societe Generale Group»",https://hh.ru/employer/599?dpt=rosbank-599-opyt,"Москва, Комсомольская и еще 2 "
33,Data scientist,https://khimki.hh.ru/vacancy/46772213?from=vacancy_search_list&query=Data%20Scientist,,,,ООО Перфект Арт,https://hh.ru/employer/2618793,"Новосибирск, Площадь Гарина-Михайловского"
34,Senior Data Scientist,https://khimki.hh.ru/vacancy/45767231?from=vacancy_search_list&query=Data%20Scientist,500000.0,,KZT,ТОО Khan Group,https://hh.ru/employer/2854137,Алматы
35,Data scientist,https://khimki.hh.ru/vacancy/46742794?from=vacancy_search_list&query=Data%20Scientist,,,,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва
36,Data Scientist,https://khimki.hh.ru/vacancy/46748041?from=vacancy_search_list&query=Data%20Scientist,,,,"ПАО МегаФон, IT",https://hh.ru/employer/3127?dpt=mgfn-3127-it,"Москва, Маяковская и еще 2 "
37,Data scientist,https://khimki.hh.ru/vacancy/46360129?from=vacancy_search_list&query=Data%20Scientist,,,,Дром,https://hh.ru/employer/1781300,Москва
38,Data Scientist (Data Lab Team),https://khimki.hh.ru/vacancy/46681550?from=vacancy_search_list&query=Data%20Scientist,180000.0,,руб.,Semrush,https://hh.ru/employer/789662,"Санкт-Петербург, Московские ворота"
39,Data Scientist / Аналитик данных,https://khimki.hh.ru/vacancy/44880189?from=vacancy_search_list&query=Data%20Scientist,,,,АО Рамакс Интернейшнл,https://hh.ru/employer/142514,"Москва, Александровский сад и еще 2 "
40,Специалист по машинному обучению/Data scientist,https://khimki.hh.ru/vacancy/46127817?from=vacancy_search_list&query=Data%20Scientist,,,,ООО Т8,https://hh.ru/employer/575393,Москва
41,Data scientist,https://khimki.hh.ru/vacancy/46771789?from=vacancy_search_list&query=Data%20Scientist,,,,First Line Software,https://hh.ru/employer/638130,Санкт-Петербург
42,Data scientist (NLP),https://khimki.hh.ru/vacancy/46687870?from=vacancy_search_list&query=Data%20Scientist,,,,"ПАО МегаФон, IT",https://hh.ru/employer/3127?dpt=mgfn-3127-it,"Москва, Маяковская и еще 2 "
43,Data Scientist (эксперт по аналитическим данным),https://khimki.hh.ru/vacancy/46813033?from=vacancy_search_list&query=Data%20Scientist,,,,ANCOR,https://hh.ru/employer/1947314?dpt=1947314-1947314-ancor,Москва
44,Senior Data Scientist,https://khimki.hh.ru/vacancy/42088119?from=vacancy_search_list&query=Data%20Scientist,,,,Циан,https://hh.ru/employer/1429999,Москва
45,Data scientist в управление розничного моделирования,https://khimki.hh.ru/vacancy/37625294?from=vacancy_search_list&query=Data%20Scientist,,,,Банк ВТБ (ПАО),https://hh.ru/employer/4181,Москва
46,Python Data Engineer (Wind),https://khimki.hh.ru/vacancy/46356994?from=vacancy_search_list&query=Data%20Scientist,,,,Semrush,https://hh.ru/employer/789662,"Санкт-Петербург, Московские ворота"
47,Senior Data Scientist,https://khimki.hh.ru/vacancy/46794479?from=vacancy_search_list&query=Data%20Scientist,,,,SOCIARO Inc.,https://hh.ru/employer/2921727,Москва
48,Data Analyst,https://khimki.hh.ru/vacancy/46428279?from=vacancy_search_list&query=Data%20Scientist,,,,Tilting Point Media,https://hh.ru/employer/1471742,"Санкт-Петербург, Петроградская"
49,Data Scientist (валидация моделей),https://khimki.hh.ru/vacancy/46059292?from=vacancy_search_list&query=Data%20Scientist,,,,"«РОСБАНК, Societe Generale Group»",https://hh.ru/employer/599?dpt=rosbank-599-bezo,Москва
